slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedUptimeBlocksAvg,actionButtons
dwellir-astar-pay-as-you-go-archive,Dwellir,Pay-as-you-go,Archive,astar,$49/$299/$999 with 25M/150M/500M requests included,$2 per 1M requests,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100/500/2000 requests per second""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-astar-dedicated-archive,Dwellir,Dedicated,Archive,astar,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-astar-dedicated,Dwellir,Dedicated,Recent-State,astar,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shibuya-free-archive,Dwellir,Free,Archive,shibuya,$0 or $5 for account creation,$0,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""20 requests per second"", ""500k requests/day""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://shibuya-rpc.dwellir.com/"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shibuya-pay-as-you-go-archive,Dwellir,Pay-as-you-go,Archive,shibuya,$49/$299/$999 with 25M/150M/500M requests included,$2 per 1M requests,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100/500/2000 requests per second""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shibuya-dedicated-archive,Dwellir,Dedicated,Archive,shibuya,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shibuya-dedicated,Dwellir,Dedicated,Recent-State,shibuya,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shiden-free-archive,Dwellir,Free,Archive,shiden,$0 or $5 for account creation,$0,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""20 requests per second"", ""500k requests/day""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://shiden-rpc.dwellir.com/"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shiden-pay-as-you-go-archive,Dwellir,Pay-as-you-go,Archive,shiden,$49/$299/$999 with 25M/150M/500M requests included,$2 per 1M requests,Null,Null,Null,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]","[""100/500/2000 requests per second""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
dwellir-shiden-dedicated-archive,Dwellir,Dedicated,Archive,shiden,Unknown,Unknown,Unknown,Unknown,Unknown,FALSE,FALSE,"[""eth"",""web3"",""net"",""debug"",""trace""]",[],"[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://dashboard.dwellir.com/register"", ""type"":""external""}, {""label"":""GitHub"", ""url"":""https://github.com/dwellir-public"", ""type"":""external""}]"
