slug,provider,plan,nodeType,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,averageLatency,verifiedBlocksBehindAvg,actionButtons
nownodes-pay-as-you-go-recent-state,Nownodes,Pay-as-you-go,Recent-State,"€20 / €200/ € 500 included into requests, yearly 10% discount",€50 / €10 / €5 million per 1M requests,,,,FALSE,FALSE,,"[""1M / 30M / 100M requests per month"", ""3 / 25 / 100 api key""]",,,,,,,
nownodes-dedicated-recent-state,Nownodes,Dedicated,Recent-State,"€400 included into requests, yearly 10% discount",no overlimit charges,,,,FALSE,FALSE,,[],,,,,,,
onfinality-free-recent-state,OnFinality,Free,Recent-State,0,$0,NULL,NULL,NULL,FALSE,FALSE,,[],,,,,,,
onfinality-pay-as-you-go-full-archive,OnFinality,Pay-as-you-go,Full Archive,$49/$249 with 20M/100M units included,$6/$3.75 per 1M units,NULL,NULL,NULL,FALSE,FALSE,"[""Network native APIs"", ""Trace API""]","[""400k units/day""]",,"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":""https://astar.api.onfinality.io/public"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-enterprise-full-archive,OnFinality,Enterprise,Full Archive,Custom,Custom,NULL,NULL,NULL,FALSE,FALSE,"[""Network native APIs"", ""Trace API""]",[],,"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Buy"", ""url"":""https://app.onfinality.io/"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-dedicated-recent-state,OnFinality,Dedicated,Recent-State,,,,,,FALSE,FALSE,,[],,"[""Requests count monitoring"", ""Response time monitoring"", ""Geographical monitoring"", ""Per method monitoring""]","[""N.Virginia"",""Hong Kong""]",NULL,NULL,NULL,"[{""label"":""Contact Sales"", ""url"":""https://onfinality.io/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://documentation.onfinality.io/"", ""type"":""external""}]"
onfinality-dedicated-full-archive,OnFinality,Dedicated,Full Archive,,,,,,FALSE,FALSE,,[],,,,,,,
onfinality-dedicated-collator,OnFinality,Dedicated,Collator,,,,,,FALSE,FALSE,,[],,,,,,,
onfinality-dedicated-trace,OnFinality,Dedicated,Trace,,,,,,FALSE,FALSE,,[],,,,,,,
quicknode-free-recent-state,Quicknode,Free,Recent-State,0,$0,,,,FALSE,FALSE,,"[""900 req/min""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving""]","[""Basic dashboard""]",,,,,
quicknode-pay-as-you-go-recent-state,Quicknode,Pay-as-you-go,Recent-State,$49/$249/$500/$999 included into query fees,$10-24.8 per 1M requests,,,,FALSE,FALSE,,"[""3000/7500/15000/30000 req/min""]","[""DDoS Protection"",""IP Protection"",""Privacy preserving""]","[""Usage analytics"",""Custom dashboards"",""Alerts & endpoints monitoring""]",,,,,
quicknode-enterprise-recent-state,Quicknode,Enterprise,Recent-State,Custom,Custom,,,,FALSE,FALSE,,[],"[""DDoS Protection"",""IP Protection"",""Privacy preserving""]","[""Advanced analytics"",""Console API (Prometheus/Grafana)"",""Custom alerting & engineering support""]",,,,,
radiumblock-free-recent-state,RadiumBlock,Free,Recent-State,$0,$0,Null,Null,Null,FALSE,FALSE,[],"[""rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Send Requests"", ""url"":"""", ""type"":""external""}]"
radiumblock-dedicated-recent-state,RadiumBlock,Dedicated,Recent-State,$375/$725/$990+,$0,Null,Null,Null,FALSE,FALSE,[],"[""rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
radiumblock-enterprise-recent-state,RadiumBlock,Enterprise,Recent-State,$150/$400/$750+,$15/$8/$0,Null,Null,Null,FALSE,FALSE,[],"[""rate limiting applies""]","[""Unknown""]","[""Unknown""]","[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Contact sales"", ""url"":""https://radiumblock.com/contact.html"", ""type"":""external""}]"
tenderly-free-recent-state,Tenderly,Free,Recent-State,,,,,,FALSE,FALSE,,[],,,,,,,
tenderly-pay-as-you-go-recent-state,Tenderly,Pay-as-you-go,Recent-State,,,,,,FALSE,FALSE,,[],,,,,,,
tenderly-dedicated-recent-state,Tenderly,Dedicated,Recent-State,,,,,,FALSE,FALSE,,[],,,,,,,
ly,Dedicated,Recent-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
nt-State,,,,,,FALSE,FALSE,,,,,,,,,
ent-State,,,,,,FALSE,FALSE,,,,,,,,,
thirdweb-free-recent-state,ThirdWeb,Free,Recent-State,0,0,NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100 requests per second"", ""1M requests""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-pay-as-you-go-recent-state,ThirdWeb,Pay-as-you-go,Recent-State,$5/$99,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""100/250 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-dedicated-recent-state,ThirdWeb,Dedicated,Recent-State,$499 + Node price (unknown),$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]","[""1000 requests per second""]",[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
thirdweb-enterprise-recent-state,ThirdWeb,Enterprise,Recent-State,$1499+,$8 per 1M requests (volume discounts applies),NULL,NULL,NULL,FALSE,FALSE,"[""eth"",""web3"",""net""]",[],[],[],"[""Unknown""]",NULL,NULL,NULL,"[{""label"":""Website"", ""url"":""https://thirdweb.com/pricing"", ""type"":""external""}, {""label"":""Docs"", ""url"":""https://portal.thirdweb.com/"", ""type"":""external""}]"
